ID	Out101	Out102	Out103	On101	On102	On103	In101	In102	In103
OTU_12	350.0	95.0	414.0	308.0	316.0	171.0	97.0	121.0	136.0
OTU_680	6.0	12.0	14.0	4.0	7.0	6.0	15.0	20.0	12.0
OTU_140	17.0	6.0	25.0	14.0	22.0	12.0	26.0	14.0	30.0
OTU_1721	6.0	0.0	0.0	4.0	2.0	5.0	1.0	5.0	3.0
OTU_70	23.0	19.0	30.0	23.0	31.0	16.0	24.0	24.0	29.0
OTU_16	69.0	42.0	88.0	55.0	77.0	61.0	56.0	85.0	106.0
OTU_46	32.0	32.0	42.0	31.0	60.0	34.0	37.0	38.0	52.0
OTU_91	56.0	33.0	81.0	44.0	62.0	48.0	30.0	34.0	35.0
OTU_452	18.0	20.0	22.0	10.0	22.0	11.0	13.0	25.0	42.0
OTU_200	23.0	15.0	28.0	10.0	12.0	13.0	12.0	15.0	26.0
OTU_15	220.0	159.0	260.0	126.0	170.0	146.0	121.0	179.0	231.0
OTU_66	38.0	25.0	41.0	24.0	36.0	37.0	33.0	34.0	60.0
OTU_35	126.0	111.0	132.0	124.0	150.0	108.0	91.0	118.0	170.0
OTU_162	39.0	25.0	34.0	33.0	51.0	33.0	18.0	42.0	29.0
OTU_109	22.0	21.0	32.0	57.0	84.0	47.0	40.0	42.0	47.0
OTU_209	9.0	5.0	10.0	18.0	27.0	12.0	6.0	17.0	11.0
OTU_887	8.0	1.0	6.0	9.0	5.0	9.0	8.0	6.0	4.0
OTU_149	81.0	52.0	81.0	63.0	81.0	72.0	60.0	75.0	121.0
OTU_201	1.0	0.0	0.0	0.0	0.0	1.0	12.0	6.0	22.0
OTU_164	29.0	16.0	41.0	21.0	29.0	18.0	22.0	24.0	41.0
OTU_154	29.0	15.0	31.0	12.0	19.0	17.0	21.0	27.0	47.0
OTU_92	172.0	39.0	201.0	130.0	172.0	83.0	30.0	38.0	79.0
OTU_85	45.0	36.0	55.0	40.0	74.0	54.0	27.0	39.0	70.0
OTU_100	22.0	21.0	37.0	24.0	35.0	27.0	19.0	36.0	53.0
OTU_797	6.0	0.0	3.0	7.0	2.0	5.0	2.0	3.0	2.0
OTU_87	9.0	12.0	17.0	50.0	57.0	49.0	14.0	27.0	43.0
OTU_166	126.0	84.0	106.0	103.0	134.0	110.0	83.0	106.0	110.0
OTU_1371	5.0	4.0	5.0	3.0	6.0	7.0	2.0	8.0	11.0
OTU_1328	40.0	12.0	62.0	32.0	32.0	18.0	14.0	10.0	12.0
OTU_150	13.0	3.0	14.0	11.0	19.0	16.0	16.0	25.0	21.0
OTU_668	1.0	0.0	2.0	0.0	1.0	1.0	2.0	2.0	2.0
OTU_123	90.0	69.0	107.0	79.0	92.0	89.0	78.0	85.0	185.0
OTU_230	32.0	35.0	35.0	34.0	43.0	17.0	35.0	31.0	64.0
OTU_217	2.0	4.0	7.0	8.0	10.0	6.0	8.0	9.0	9.0
OTU_503	3.0	4.0	9.0	2.0	2.0	2.0	3.0	6.0	0.0
OTU_129	12.0	7.0	22.0	8.0	12.0	8.0	4.0	12.0	8.0
OTU_394	17.0	15.0	35.0	16.0	25.0	36.0	14.0	17.0	25.0
OTU_84	42.0	26.0	34.0	30.0	49.0	35.0	23.0	35.0	47.0
OTU_346	4.0	2.0	8.0	10.0	17.0	8.0	8.0	13.0	30.0
OTU_47	23.0	16.0	42.0	45.0	38.0	39.0	24.0	24.0	22.0
OTU_1225	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
OTU_62	15.0	19.0	15.0	23.0	32.0	28.0	19.0	27.0	33.0
OTU_1584	7.0	5.0	8.0	7.0	19.0	10.0	8.0	21.0	19.0
OTU_318	18.0	20.0	22.0	18.0	32.0	14.0	20.0	24.0	36.0
OTU_113	13.0	16.0	34.0	13.0	26.0	26.0	18.0	15.0	36.0
OTU_863	53.0	43.0	88.0	48.0	51.0	55.0	51.0	51.0	104.0
OTU_1027	12.0	7.0	19.0	16.0	20.0	10.0	9.0	13.0	12.0
OTU_367	5.0	2.0	7.0	7.0	15.0	8.0	5.0	6.0	7.0
OTU_806	9.0	10.0	20.0	10.0	15.0	12.0	12.0	14.0	24.0
OTU_147	0.0	0.0	1.0	17.0	17.0	6.0	5.0	7.0	11.0
OTU_407	7.0	4.0	11.0	4.0	16.0	13.0	10.0	15.0	12.0
OTU_29	44.0	37.0	51.0	30.0	46.0	34.0	42.0	50.0	52.0
OTU_229	14.0	7.0	3.0	3.0	7.0	5.0	8.0	5.0	8.0
OTU_392	12.0	7.0	22.0	14.0	20.0	10.0	6.0	6.0	9.0
OTU_86	39.0	32.0	36.0	37.0	63.0	24.0	33.0	36.0	45.0
OTU_892	0.0	1.0	1.0	2.0	3.0	0.0	3.0	0.0	2.0
OTU_163	11.0	3.0	24.0	16.0	18.0	5.0	9.0	7.0	10.0
OTU_101	22.0	22.0	27.0	32.0	42.0	26.0	21.0	30.0	28.0
OTU_14	263.0	182.0	297.0	177.0	223.0	184.0	130.0	242.0	344.0
OTU_712	4.0	10.0	7.0	8.0	8.0	0.0	9.0	10.0	12.0
OTU_81	10.0	7.0	10.0	24.0	32.0	34.0	11.0	12.0	21.0
OTU_349	7.0	7.0	13.0	11.0	13.0	10.0	9.0	7.0	13.0
OTU_1713	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0
OTU_1088	7.0	2.0	2.0	1.0	7.0	2.0	2.0	3.0	2.0
OTU_124	17.0	15.0	17.0	9.0	16.0	5.0	6.0	15.0	7.0
OTU_38	68.0	13.0	70.0	58.0	51.0	36.0	28.0	18.0	39.0
OTU_143	10.0	5.0	16.0	19.0	23.0	6.0	13.0	6.0	5.0
OTU_1024	3.0	4.0	5.0	3.0	1.0	1.0	3.0	2.0	1.0
OTU_1383	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0
OTU_453	4.0	5.0	5.0	7.0	7.0	2.0	6.0	4.0	5.0
OTU_41	159.0	115.0	177.0	208.0	285.0	203.0	77.0	160.0	176.0
OTU_526	0.0	1.0	0.0	0.0	2.0	7.0	1.0	2.0	1.0
OTU_63	21.0	12.0	26.0	31.0	36.0	33.0	17.0	33.0	46.0
OTU_768	0.0	0.0	1.0	13.0	10.0	3.0	3.0	8.0	6.0
OTU_391	1.0	0.0	3.0	0.0	2.0	2.0	3.0	3.0	6.0
OTU_49	15.0	25.0	31.0	21.0	51.0	30.0	26.0	34.0	67.0
OTU_660	4.0	0.0	2.0	2.0	2.0	2.0	3.0	1.0	2.0
OTU_1744	4.0	2.0	5.0	3.0	2.0	3.0	1.0	0.0	6.0
OTU_165	10.0	10.0	18.0	24.0	21.0	17.0	19.0	19.0	14.0
OTU_334	3.0	10.0	4.0	3.0	5.0	1.0	8.0	4.0	7.0
OTU_599	15.0	15.0	13.0	18.0	21.0	23.0	19.0	16.0	16.0
OTU_897	1.0	3.0	2.0	5.0	2.0	0.0	3.0	1.0	2.0
